OBJECTID,GEOID,State_or_Territory,Median_Income,Abbreviation,Overall_Index_Ranking,Overall_Index,Wage_Dimension_Ranking,Wage_Dimension_Index,Worker_Protection_Dimension_Ranking,Worker_Protection_Dimension_Index,Right_to_Organize_Dimension_Ranking,Right_to_Organize_Dimension_Index,MIT_Living_Wage_2022,Minimum_Wage_2022,Wage_Ratio,Minimum_Tipped_Cash_Wage_2021,Tip_Wage_Ratio,Working_Family_Weekly_UI_Benefit,UI_to_MIT_Living_Wage_Ratio,UI_Ratio_with_CARES,Local_Control_of_Minimum_Wage,Farmworkers_Covered_by_Minimum_Wage,Private_Sector_Pregnant_Worker_Accommodation,Private_Sector_Right_to_Pump,Basic_Equal_Pay,No_Pay_Secrecy,No_Private_Sector_Salary_History,Family_Leave_in_Place,Sick_Leave_in_Place,Flexible_Scheduling,Reporting_Pay,Split_Shift_Pay,Advanced_Shift_Notice,Sexual_Harassment_in_the_Law,Farmworker_Compensation,Domestic_Worker_Protections,Heat_Standard,Right_to_Work,Teachers_Collective_Bargaining,Teachers_Wage_Negotiation,PLAs_Allowed_Locally,Protections_From_Retaliation,Collective_Bargaining,Protections_From_Retaliation_text,2021_gdp_millionsOfDollars,2021_percentChange,Minimum_Wage,Minimum_Tipped_Wage,Same_as_regular_minimum_wage,Minimum_Wage_map,Minimum_Tipped_Wage_map
21,24,Maryland,91431,MD,14,63.04547895,15,60.73869739,15,53.57142857,11,80,40.4,12.5,30.9,3.63,0.2904,286.8333333,0.177495875,0.19103596,Yes,"Yes, with some exceptions.",Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,No,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,443930,8,$13.25 ,$3.63 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,13.25,3.63
22,25,Massachusetts,89026,MA,6,76.35602157,8,69.01505392,5,75,7,90,43.77,14.25,32.6,6.15,0.431578947,335,0.191341101,0.446428571,Yes,"Yes, with some exceptions.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,0.5,Required,"Yes. Policy includes back pay, recovered attorney fees, court cases against employers, and court-mandated monetary damages. Does not include government-imposed fine. No easy means to take complaint to government agency.",641332,9.6,$15.00 ,$6.75 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,15,6.75
23,26,Michigan,63202,MI,31,36.04214179,29,38.02202115,29,30.95238095,32,40,35.94,9.87,27.5,3.75,0.37993921,222.4284,0.154722037,0.436394134,No,"Yes, with some exceptions.",No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,Yes,Yes,Yes,No,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,572206,10,$10.10 ,$3.84 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,10.1,3.84
24,27,Minnesota,77706,MN,18,58.5606537,19,53.69330091,21,41.66666667,7,90,38.9,10.33,26.6,10.33,1,206.6,0.13277635,0.380461165,Yes,"Yes, with some exceptions.",Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,No,Yes,Yes,Yes,0.5,Required,"Yes. Policy includes back pay, recovered attorney fees, court cases against employers, and court-mandated monetary damages. Does not include government-imposed fine. No easy means to take complaint to government agency.",412459,9.5,$10.59 ,$10.59 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr). Employers must pay tipped workers full state minimum wage before tips.,10.59,10.59
25,28,Mississippi,49111,MS,51,7.106497531,49,5.266243827,52,0,44,20,35.67,7.25,20.3,2.13,0.293793103,145,0.101626016,0.120471918,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,127308,10.6,$7.25 ,$2.13 ,No state minimum wage requirement. Federal minimum wage applies.,7.25,2.13
26,29,Missouri,61043,MO,30,37.26649041,22,45.24955935,45,19.04761905,29,50,37.1,11.15,30.1,5.58,0.50044843,231.92,0.156280323,0.169762282,No,"Yes, with some exceptions.",No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,0,Allowed,No. Criminal penalities only against wage theft retaliation (no civil penalties).,358572,8.6,$12.00 ,$6.00 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr).,12,6
27,30,Montana,60560,MT,26,42.8512161,21,49.83637359,37,22.61904762,26,60,36.92,9.2,24.9,9.2,1,191.36,0.129577465,0.144215531,Yes,"Yes, with some exceptions.",No,No,Yes,No,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,No,Yes,Yes,No,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,58700,12.1,$9.95 ,$9.95 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr). Employers must pay tipped workers full state minimum wage before tips.,9.95,9.95
28,31,Nebraska,66644,NE,25,43.36282436,32,28.19872757,21,41.66666667,22,70,37.36,9,24.1,2.13,0.236666667,180,0.120449679,0.143129771,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Partially covered or covered with exceptions.,No,No,Yes,Yes,Yes,Yes,0.5,Required,"Yes. Policy includes back pay, recovered attorney fees, court cases against employers, and court-mandated monetary damages. Does not include government-imposed fine. No easy means to take complaint to government agency.",146285,8.7,$10.50 ,$2.13 ,Minimum wage is greater than federal minimum wage ($7.25/hr). Minimum wage for tipped workers is the same as federal minimum tipped wage ($2.13/hr).,10.5,2.13
29,32,Nevada,65686,NV,16,60.35838781,17,60.27096952,15,53.57142857,22,70,36.58,10.5,28.7,9.75,0.928571429,218.4,0.149261892,0.400657895,Yes,"Yes, with some exceptions.",Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,0.5,Required,"Yes. Policy includes back pay, recovered attorney fees, court cases against employers, and court-mandated monetary damages. Does not include government-imposed fine. No easy means to take complaint to government agency.",194487,12.7,$10.50 ,$10.50 ,Minimum wage and minimum tipped wage are greater than federal minimum wage ($7.25/hr) and  federal minimum tipped wage ($2.13/hr). Employers must pay tipped workers full state minimum wage before tips.,10.5,10.5
30,33,New Hampshire,83449,NH,28,41.70463901,34,20.92826418,23,38.0952381,11,80,37.04,7.25,19.6,3.26,0.449655172,165.88,0.111960043,0.133947028,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,0,Required,No. Criminal penalities only against wage theft retaliation (no civil penalties).,99673,12.8,$7.25 ,$3.26 ,Minimum wage is the same as federal minimum wage ($7.25/hr). Minimum wage for tipped workers is greater than federal minimum tipped wage ($2.13/hr).,7.25,3.26
